what,when,why
Volontario del Banco di Solidarietà (Pavia),2015-Oggi,NA
Volontario del Banco Alimentare (Udine),2004-2015,NA
Volontario sportello lavoro (Chioggia),1995-2000,NA
Collaborazione con cooperative sociali,2000-2010,NA
