degree,inst,where,start_day,start_month,start_year,end_day,end_month,end_year,detail,thesis,thesis_advisor
Corso Controllo di Gestione e Contabilità,Associazione Piccole Imprese (API),Udine (UD),NA,10,2005,NA,11,2005,NA,NA,NA	
Corso operatori in commercio estero,Camera di Commercio di Venezia,Sede di Treviso (TV),NA,04,2001,NA,05,2001,NA,NA,NA	
Percorso formativo per giovani imprenditori,Scuola di Impresa (CDO),Fond. “Alma Mater” Bologna (BO),NA,01,2000,NA,01,2001,NA,NA,NA	
English Language Course,The Manchester Academy of English,University of Manchester (UK),NA,03,1995,NA,06,1995,NA,NA,NA	
Corso di studi da Geometra,Istituto Tecnico per Geometri “G.Massari”,Mestre (VE),NA,09,1986,NA,06,1990,Triennio (serale),NA,NA	
Corso di studi da Perito Tecnico Industriale,Istituto Tecnico Industriale Statale “A.Righi”,Chioggia (VE),NA,09,1984,NA,06,1986,NA,NA,NA	
